Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,2.32,0.02,0.0,0.0,116.0
2009-10,0.36,0.0,0.0,0.0,inf
2010-11,90.57,0.21,0.002,0.001,431.29
2011-12,10.87,0.03,0.0,0.0,362.33
2012-13,1.2,0.0,0.0,0.0,inf
2013-14,7.52,0.02,0.0,0.0,376.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.95,0.01,0.0,0.0,95.0
2016-17,5.04,0.05,0.0,0.0,100.8
2017-18,12.14,0.18,0.0,0.0,67.44
2018-19,30.54,0.51,0.001,0.001,59.88
2019-20,138.6,2.21,0.002,0.005,62.71
2020-21,17.97,0.45,0.0,0.001,39.93
2021-22,56.03,2.34,0.001,0.004,23.94
2022-23,62.4,1.79,0.001,0.003,34.86
2023-24 (April-November),91.98,1.42,0.002,0.003,64.77
Total,528.49,9.239999999999998,0.0,0.0,0.0
