Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,89.0,0.07,0.003,0.001,1271.43
2009-10,629.67,1.35,0.012,0.008,466.42
2010-11,12506.13,30.71,0.299,0.211,407.23
2011-12,12.8,0.07,0.0,0.0,182.86
2012-13,450.0,0.3,0.009,0.001,1500.0
2013-14,17843.88,33.3,0.366,0.139,535.85
2014-15,386.93,0.64,0.006,0.002,604.58
2015-16,87323.61,201.13,1.067,0.482,434.17
2016-17,86.83,0.21,0.001,0.0,413.48
2017-18,6592.59,11.88,0.065,0.025,554.93
2018-19,7080.71,8.42,0.121,0.021,840.94
2019-20,141189.87,567.41,2.071,1.356,248.83
2020-21,66264.43,211.03,1.143,0.516,314.0
2021-22,28512.6,106.06,0.435,0.196,268.83
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-November),19985.43,85.7,0.366,0.158,233.2
Total,388954.48,1258.2800000000002,0.0,0.0,0.0
