Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,250.0,0.19,0.008,0.002,1315.79
2009-10,385.0,1.7,0.007,0.011,226.47
2010-11,1737.0,1.8,0.042,0.012,965.0
2011-12,692.0,1.37,0.015,0.008,505.11
2012-13,38.15,0.29,0.001,0.001,131.55
2013-14,114.0,0.36,0.002,0.002,316.67
2014-15,21.0,0.15,0.0,0.0,140.0
2015-16,106.43,0.31,0.001,0.001,343.32
2016-17,325.05,1.39,0.002,0.002,233.85
2017-18,1719.4,13.04,0.017,0.027,131.86
2018-19,1086.89,8.14,0.019,0.02,133.52
2019-20,1952.05,11.47,0.029,0.027,170.19
2020-21,1036.15,7.95,0.018,0.019,130.33
2021-22,748.25,9.37,0.011,0.017,79.86
2022-23,1203.11,12.87,0.018,0.019,93.48
2023-24 (April-November),1276.87,13.77,0.023,0.025,92.73
Total,12691.35,84.16999999999999,0.0,0.0,0.0
