Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,97.32,2.28,0.003,0.022,42.68
2009-10,72.35,2.41,0.001,0.015,30.02
2010-11,87.72,2.66,0.002,0.018,32.98
2011-12,298.7,9.9,0.006,0.055,30.17
2012-13,567.6,33.61,0.011,0.148,16.89
2013-14,375.33,21.83,0.008,0.091,17.19
2014-15,147.82,5.89,0.002,0.019,25.1
2015-16,634.63,13.93,0.008,0.033,45.56
2016-17,182.05,2.41,0.001,0.004,75.54
2017-18,431.71,3.3,0.004,0.007,130.82
2018-19,715.16,5.9,0.012,0.015,121.21
2019-20,2150.09,25.9,0.032,0.062,83.02
2020-21,366.07,11.02,0.006,0.027,33.22
2021-22,176.36,5.88,0.003,0.011,29.99
2022-23,920.4,20.91,0.014,0.032,44.02
2023-24 (April-November),179.36,7.38,0.003,0.014,24.3
Total,7402.67,175.20999999999998,0.0,0.0,0.0
