Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,27.0,0.15,0.001,0.001,180.0
2009-10,215.0,0.57,0.004,0.004,377.19
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,33.0,0.12,0.001,0.001,275.0
2014-15,30.0,0.02,0.0,0.0,1500.0
2015-16,19.22,0.21,0.0,0.001,91.52
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,160.2,1.06,0.003,0.003,151.13
2019-20,500.13,3.71,0.007,0.009,134.81
2020-21,47.6,0.26,0.001,0.001,183.08
2021-22,68.8,1.05,0.001,0.002,65.52
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-November),18.6,0.26,0.0,0.0,71.54
Total,1119.55,7.409999999999999,0.0,0.0,0.0
