Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,2912.77,3.17,0.087,0.031,918.85
2009-10,3577.11,4.35,0.07,0.027,822.32
2010-11,2914.3,4.02,0.07,0.028,724.95
2011-12,2342.72,3.74,0.05,0.021,626.4
2012-13,833.7,0.88,0.016,0.004,947.39
2013-14,321.12,0.41,0.007,0.002,783.22
2014-15,611.1,1.28,0.01,0.004,477.42
2015-16,234.0,0.35,0.003,0.001,668.57
2016-17,655.1,1.04,0.004,0.002,629.9
2017-18,913.99,1.76,0.009,0.004,519.31
2018-19,1032.34,2.53,0.018,0.006,408.04
2019-20,733.08,1.79,0.011,0.004,409.54
2020-21,428.45,1.82,0.007,0.004,235.41
2021-22,517.48,1.78,0.008,0.003,290.72
2022-23,293.12,1.17,0.004,0.002,250.53
2023-24 (April-November),117.11,1.05,0.002,0.002,111.53
Total,18437.489999999998,31.14,0.0,0.0,0.0
