Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,99168.27,460.71,2.975,4.53,215.25
2009-10,138442.07,544.29,2.694,3.418,254.35
2010-11,116702.79,641.66,2.792,4.407,181.88
2011-12,130790.65,869.85,2.805,4.839,150.36
2012-13,148569.69,1148.08,2.864,5.063,129.41
2013-14,180681.64,1392.59,3.701,5.808,129.75
2014-15,196700.86,1795.18,3.227,5.693,109.57
2015-16,186123.68,1824.6,2.274,4.369,102.01
2016-17,229557.04,2125.72,1.494,3.378,107.99
2017-18,131055.23,1482.09,1.294,3.112,88.43
2018-19,229465.71,2436.12,3.908,6.012,94.19
2019-20,275743.79,2507.04,4.044,5.99,109.99
2020-21,216530.05,2174.43,3.736,5.316,99.58
2021-22,336515.45,3297.81,5.134,6.086,102.04
2022-23,368619.64,3847.46,5.416,5.824,95.81
2023-24 (April-November),213034.82,2313.52,3.902,4.262,92.08
Total,3197701.38,28861.149999999998,0.0,0.0,0.0
