Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,336634.69,933.08,10.1,9.174,360.78
2009-10,442215.04,1224.64,8.605,7.69,361.1
2010-11,465013.94,1617.41,11.125,11.109,287.51
2011-12,582418.04,2265.36,12.492,12.602,257.1
2012-13,659993.1,3072.2,12.722,13.548,214.83
2013-14,562664.81,3006.11,11.526,12.537,187.17
2014-15,631227.95,3557.11,10.356,11.28,177.46
2015-16,629816.44,3615.17,7.695,8.656,174.21
2016-17,834811.68,4748.89,5.433,7.548,175.79
2017-18,753595.63,4497.02,7.438,9.442,167.58
2018-19,885216.87,5500.77,15.074,13.575,160.93
2019-20,716428.98,4824.07,10.508,11.525,148.51
2020-21,868379.49,5495.22,14.983,13.435,158.02
2021-22,1206053.65,7505.3,18.4,13.85,160.69
2022-23,1116245.24,6870.62,16.4,10.4,162.47
2023-24 (April-November),781295.62,5667.37,14.312,10.441,137.86
Total,11472011.17,64400.34000000001,0.0,0.0,0.0
