Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,967.75,7.83,0.029,0.077,123.6
2009-10,1404.5,9.79,0.027,0.061,143.46
2010-11,778.57,7.56,0.019,0.052,102.99
2011-12,962.82,9.86,0.021,0.055,97.65
2012-13,569.83,9.02,0.011,0.04,63.17
2013-14,388.5,7.64,0.008,0.032,50.85
2014-15,248.35,9.28,0.004,0.029,26.76
2015-16,72.1,2.75,0.001,0.007,26.22
2016-17,132.47,4.47,0.001,0.007,29.64
2017-18,94.74,3.22,0.001,0.007,29.42
2018-19,119.38,4.14,0.002,0.01,28.84
2019-20,120.55,4.52,0.002,0.011,26.67
2020-21,135.86,5.12,0.002,0.013,26.54
2021-22,174.08,5.56,0.003,0.01,31.31
2022-23,46.05,2.74,0.001,0.004,16.81
2023-24 (April-November),27.6,1.51,0.001,0.003,18.28
Total,6243.150000000001,95.01,0.0,0.0,0.0
