Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,19.46,0.43,0.001,0.004,45.26
2009-10,39.33,1.22,0.001,0.008,32.24
2010-11,29.7,0.85,0.001,0.006,34.94
2011-12,4.63,0.21,0.0,0.001,22.05
2012-13,37.09,2.15,0.001,0.009,17.25
2013-14,59.26,5.13,0.001,0.021,11.55
2014-15,83.57,8.44,0.001,0.027,9.9
2015-16,57.35,4.8,0.001,0.011,11.95
2016-17,122.92,8.5,0.001,0.014,14.46
2017-18,216.29,13.36,0.002,0.028,16.19
2018-19,119.38,10.65,0.002,0.026,11.21
2019-20,160.25,13.21,0.002,0.032,12.13
2020-21,12.3,0.94,0.0,0.002,13.09
2021-22,53.58,4.92,0.001,0.009,10.89
2022-23,215.8,17.24,0.003,0.026,12.52
2023-24 (April-November),162.14,10.67,0.003,0.02,15.2
Total,1393.0500000000002,102.72,0.0,0.0,0.0
