Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,0.75,0.02,0.0,0.0,37.5
2009-10,0.88,0.03,0.0,0.0,29.33
2010-11,139.6,1.5,0.003,0.01,93.07
2011-12,48.89,0.95,0.001,0.005,51.46
2012-13,302.33,6.04,0.006,0.027,50.05
2013-14,141.32,3.22,0.003,0.013,43.89
2014-15,1321.85,35.12,0.022,0.111,37.64
2015-16,5490.73,107.03,0.067,0.256,51.3
2016-17,12989.53,237.9,0.085,0.378,54.6
2017-18,19573.76,359.43,0.193,0.755,54.46
2018-19,13640.47,267.87,0.232,0.661,50.92
2019-20,21305.23,494.95,0.312,1.182,43.05
2020-21,35021.54,667.17,0.604,1.631,52.49
2021-22,30087.75,474.44,0.459,0.875,63.42
2022-23,37677.7,510.58,0.554,0.773,73.79
2023-24 (April-November),48964.36,602.47,0.897,1.11,81.27
Total,226706.69,3768.72,0.0,0.0,0.0
