Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,20.0,0.01,0.001,0.0,2000.0
2009-10,164382.72,231.9,3.199,1.456,708.85
2010-11,185280.33,255.84,4.433,1.757,724.2
2011-12,21.5,0.08,0.0,0.0,268.75
2012-13,2943.85,6.03,0.057,0.027,488.2
2013-14,11271.39,26.92,0.231,0.112,418.7
2014-15,27973.19,58.74,0.459,0.186,476.22
2015-16,516166.56,870.0,6.307,2.083,593.29
2016-17,5749431.07,8509.05,37.417,13.524,675.68
2017-18,1649724.88,2357.84,16.283,4.951,699.68
2018-19,2746.56,5.44,0.047,0.013,504.88
2019-20,1884.51,4.63,0.028,0.011,407.02
2020-21,2.66,0.01,0.0,0.0,266.0
2021-22,54.06,0.18,0.001,0.0,300.33
2022-23,13570.37,46.12,0.199,0.07,294.24
2023-24 (April-November),61855.16,187.45,1.133,0.345,329.98
Total,8387328.8100000005,12560.24,0.0,0.0,0.0
